ax,ay,az,gx,gy,gz,target,target_name
0.11,0.02,9.64,-0.0,-0.06,-0.32,0.0,quiet
0.16,0.2,9.65,-0.01,-0.05,-0.36,0.0,quiet
0.17,0.21,9.67,-0.0,-0.05,-0.31,0.0,quiet
0.27,0.24,9.65,-0.01,-0.05,-0.27,0.0,quiet
0.18,0.4,9.67,-0.02,-0.05,-0.2,0.0,quiet
0.15,0.3,9.63,-0.02,-0.05,-0.13,0.0,quiet
0.13,0.24,9.63,-0.02,-0.05,-0.09,0.0,quiet
0.15,0.15,9.63,-0.02,-0.05,-0.09,0.0,quiet
0.15,0.2,9.65,-0.01,-0.06,-0.11,0.0,quiet
0.17,0.16,9.67,-0.01,-0.06,-0.12,0.0,quiet
0.17,0.13,9.65,-0.01,-0.05,-0.14,0.0,quiet
0.16,0.17,9.68,-0.02,-0.05,-0.12,0.0,quiet
0.15,0.15,9.67,-0.02,-0.05,-0.1,0.0,quiet
0.15,0.17,9.69,-0.02,-0.05,-0.1,0.0,quiet
0.19,0.2,9.67,-0.02,-0.05,-0.11,0.0,quiet
0.18,0.17,9.67,-0.01,-0.05,-0.12,0.0,quiet
0.14,0.14,9.66,-0.02,-0.05,-0.13,0.0,quiet
0.18,0.14,9.65,-0.01,-0.06,-0.13,0.0,quiet
0.19,0.18,9.65,-0.01,-0.06,-0.15,0.0,quiet
0.15,0.22,9.65,-0.02,-0.05,-0.15,0.0,quiet
0.1,0.28,9.63,-0.02,-0.05,-0.12,0.0,quiet
